subscription_type,plan_type,auto_renew,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,discount_used_last_renewal,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,previous_renewal_status,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,csat_score,customer_age,signup_source,payment_method,downgrade_history,subscription_status,tenure_days
Digital,Monthly,Yes,2.58,0,1,No,0.99,7.78,Asia,Technology,0.52,1,Desktop,Auto,,0.39,-84,0.24,5,66,Mobile App,Credit Card,No,Active,1149
Digital,Annual,Yes,4.19,9,1,No,0.13,10.05,North America,Politics,0.37,0,Desktop,Auto,,0.36,9,0.37,4,61,Web,Credit Card,No,Active,290
Espresso,Annual,Yes,3.51,4,3,Yes,0.8,9.63,Others,Finance,0.35,0,Desktop,Auto,,0.29,32,0.12,4,67,Mobile App,Debit Card,No,Active,1226
Digital+Print,Annual,Yes,3.86,11,1,Yes,0.39,4.91,North America,Politics,0.37,1,Mobile,Manual,Retention Offer,0.23,-75,0.79,3,59,Mobile App,Debit Card,Yes,Active,98
Espresso,Annual,No,4.45,21,1,No,0.49,5.39,North America,Politics,0.71,0,Desktop,Manual,Retention Offer,0.16,28,-0.67,5,56,Mobile App,Credit Card,Yes,Active,1795
Digital,Monthly,Yes,2.5,29,1,No,0.88,13.87,North America,Environment,0.34,1,Mobile,Manual,,0.08,-100,-0.28,2,61,Web,Credit Card,No,Active,1462
Digital,Monthly,Yes,2.08,26,2,Yes,0.41,11.6,North America,Politics,0.54,0,Desktop,Auto,,0.07,-66,0.05,5,61,Mobile App,Credit Card,Yes,Active,1069
Digital,Monthly,No,1.37,6,0,No,0.54,14.2,Asia,Politics,0.83,0,Desktop,Manual,,0.28,-92,0.46,4,62,Web,PayPal,No,Cancelled,432
Digital,Annual,No,1.76,8,2,No,0.05,11.3,Asia,Finance,0.51,0,Mobile,Auto,,0.48,-14,0.6,4,18,Web,PayPal,No,Active,630
Digital+Print,Monthly,No,7.42,21,0,No,0.0,10.57,Europe,Technology,0.83,2,Desktop,Manual,,0.31,-63,-0.6,4,24,Web,Credit Card,No,Cancelled,837
Digital,Annual,Yes,4.87,20,1,No,0.24,3.1,North America,Finance,0.82,0,Tablet,Auto,Newsletter Promo,0.36,-97,-0.89,2,65,Mobile App,PayPal,No,Active,384
Digital,Annual,Yes,0.97,11,0,No,0.68,8.92,North America,Politics,0.47,1,Desktop,Auto,Newsletter Promo,0.29,-49,0.39,1,65,Web,PayPal,No,Active,1681
Digital,Monthly,Yes,1.02,22,0,Yes,0.12,9.89,Europe,Politics,0.81,0,Mobile,Manual,,0.04,46,0.06,4,38,Mobile App,Credit Card,No,Cancelled,473
Espresso,Annual,Yes,3.72,28,1,Yes,0.11,17.81,Others,Politics,0.82,1,Desktop,Manual,,0.29,-96,0.08,5,33,Mobile App,Credit Card,No,Active,756
Digital,Monthly,Yes,3.82,0,0,No,0.41,12.75,North America,Finance,0.58,0,Tablet,Auto,Retention Offer,0.32,5,0.4,1,65,Mobile App,Debit Card,No,Active,302
Digital+Print,Monthly,Yes,3.82,10,2,Yes,0.65,16.14,Asia,Politics,0.45,2,Mobile,Manual,Survey,0.52,-53,-0.4,5,31,Web,PayPal,Yes,Active,99
Digital+Print,Annual,Yes,2.62,29,1,No,0.71,12.39,Europe,Environment,0.66,3,Desktop,Auto,,0.59,-14,-0.12,4,60,Mobile App,Credit Card,No,Active,828
Digital,Monthly,Yes,2.81,20,0,No,0.18,7.15,North America,Finance,0.94,1,Mobile,Manual,Newsletter Promo,0.26,90,0.26,2,68,Web,Credit Card,No,Active,797
Digital,Annual,Yes,3.49,14,0,No,0.08,10.47,Europe,Politics,0.75,1,Mobile,Auto,,0.47,-63,-0.48,1,60,Mobile App,Credit Card,No,Active,118
Digital,Annual,Yes,3.13,1,1,Yes,0.94,10.94,North America,Technology,0.42,0,Desktop,Auto,Survey,0.45,-49,-0.27,1,19,Mobile App,PayPal,No,Active,717
Digital,Monthly,No,0.0,19,0,No,0.26,6.24,Asia,Finance,0.78,1,Desktop,Auto,Retention Offer,0.15,-14,0.05,4,48,Mobile App,Credit Card,No,Cancelled,61
Digital,Monthly,Yes,2.66,6,2,No,0.85,8.46,North America,Technology,0.6,1,Desktop,Auto,,0.1,-55,0.26,4,56,Mobile App,Credit Card,No,Active,1455
Digital,Monthly,Yes,1.72,20,1,Yes,0.86,9.18,Asia,Politics,0.71,1,Tablet,Manual,,0.24,-8,-0.72,4,26,Web,Credit Card,No,Cancelled,1234
Digital+Print,Monthly,Yes,3.26,11,1,Yes,0.77,16.42,North America,Technology,0.81,0,Mobile,Auto,Newsletter Promo,0.2,36,0.33,3,58,Web,Credit Card,No,Active,170
Digital,Annual,No,7.48,21,1,Yes,0.17,1.68,Others,Culture,0.66,2,Mobile,Auto,,0.34,-51,0.22,2,31,Web,Credit Card,No,Active,907
Digital,Monthly,No,3.55,17,0,No,0.82,14.82,North America,Environment,0.87,0,Tablet,Auto,Newsletter Promo,0.41,-35,-0.42,2,27,Web,Credit Card,No,Cancelled,702
Espresso,Monthly,Yes,2.53,2,0,No,0.77,6.25,Asia,Politics,0.81,1,Mobile,Auto,Retention Offer,0.22,-63,1.12,4,65,Referral,Credit Card,No,Active,70
Digital+Print,Monthly,No,4.38,6,0,No,0.6,4.51,Asia,Finance,0.73,2,Desktop,Manual,Retention Offer,0.34,54,-0.48,3,41,Web,PayPal,No,Active,261
Digital,Monthly,Yes,3.72,10,0,No,0.34,14.72,Others,Finance,0.41,0,Desktop,Auto,Retention Offer,0.18,4,0.37,4,67,Referral,Credit Card,Yes,Active,461
Digital,Annual,No,3.63,17,5,Yes,0.26,12.93,Europe,Environment,0.89,0,Mobile,Auto,Newsletter Promo,0.13,47,0.14,4,50,Mobile App,Credit Card,No,Cancelled,202
Digital,Monthly,Yes,3.91,11,0,No,0.12,15.02,Asia,Environment,0.96,0,Mobile,Auto,,0.08,89,-0.21,2,51,Mobile App,PayPal,No,Active,1199
Digital+Print,Annual,Yes,6.08,5,1,No,0.51,13.2,North America,Politics,0.4,3,Desktop,Auto,Newsletter Promo,0.04,-85,0.05,3,37,Mobile App,Credit Card,No,Active,1595
Digital,Monthly,Yes,1.3,4,1,Yes,0.59,18.24,North America,Politics,0.64,0,Desktop,Manual,,0.08,-22,0.27,2,45,Web,Credit Card,No,Cancelled,244
Digital,Annual,Yes,3.71,25,0,No,0.36,12.23,Europe,Finance,0.48,1,Desktop,Auto,,0.23,-88,1.43,4,21,Web,Credit Card,No,Active,1736
Digital+Print,Monthly,No,1.61,0,0,No,0.48,9.37,North America,Politics,0.83,1,Desktop,Auto,Newsletter Promo,0.18,13,-0.72,5,51,Mobile App,PayPal,No,Cancelled,237
Digital,Monthly,No,3.83,11,1,Yes,0.36,11.37,Others,Finance,0.81,2,Mobile,Manual,,0.19,1,-1.36,1,21,Web,PayPal,Yes,Active,1108
Digital,Annual,Yes,1.62,26,2,Yes,0.64,14.97,North America,Politics,0.4,0,Mobile,Auto,,0.62,47,-0.51,4,23,Web,Credit Card,Yes,Cancelled,1140
Digital,Monthly,Yes,2.37,25,1,Yes,0.9,6.88,Europe,Technology,0.91,1,Mobile,Manual,,0.54,51,-0.02,3,39,Mobile App,PayPal,Yes,Active,537
Digital,Annual,Yes,2.56,10,0,No,0.16,7.39,Europe,Environment,0.43,2,Mobile,Auto,Newsletter Promo,0.36,77,0.33,5,21,Mobile App,Debit Card,No,Active,735
Espresso,Monthly,Yes,4.46,3,2,No,0.38,8.76,Europe,Environment,0.86,1,Mobile,Manual,,0.26,34,0.05,3,67,Mobile App,Credit Card,No,Active,1243
Digital+Print,Monthly,Yes,4.38,26,0,Yes,0.14,1.58,Europe,Finance,0.62,0,Mobile,Auto,Survey,0.21,-14,-0.08,4,22,Web,PayPal,No,Active,1130
Digital,Monthly,Yes,1.13,17,0,No,0.62,10.55,North America,Technology,0.53,0,Mobile,Auto,Newsletter Promo,0.47,-13,0.77,4,28,Referral,Credit Card,Yes,Cancelled,405
Digital+Print,Annual,Yes,3.08,3,1,No,0.73,2.46,Europe,Culture,0.41,2,Mobile,Auto,Newsletter Promo,0.47,-72,-0.4,1,62,Mobile App,Credit Card,No,Active,1204
Digital+Print,Monthly,No,1.94,16,1,Yes,0.93,10.21,North America,Politics,0.42,0,Mobile,Manual,,0.28,32,0.83,3,52,Mobile App,Credit Card,No,Cancelled,245
Digital+Print,Monthly,Yes,1.11,1,2,No,0.28,13.46,Others,Technology,0.76,3,Desktop,Manual,Retention Offer,0.17,6,0.31,5,36,Web,PayPal,No,Active,1214
Digital,Monthly,Yes,2.67,28,0,Yes,0.95,8.09,Asia,Finance,0.69,2,Desktop,Auto,,0.28,62,0.75,1,69,Mobile App,Credit Card,No,Active,737
Digital,Monthly,Yes,2.54,23,2,No,0.06,16.71,Others,Politics,0.39,1,Mobile,Manual,Newsletter Promo,0.19,-36,-0.47,3,28,Mobile App,Credit Card,No,Active,1661
Digital+Print,Monthly,No,6.64,21,3,No,0.6,4.16,North America,Finance,0.38,1,Tablet,Auto,Retention Offer,0.08,-1,-0.18,4,28,Mobile App,Credit Card,Yes,Cancelled,314
Digital+Print,Annual,Yes,3.65,1,0,No,0.06,14.77,North America,Politics,0.35,0,Mobile,Manual,,0.42,14,-0.73,1,44,Web,Credit Card,No,Active,42
Digital+Print,Annual,Yes,0.93,11,0,Yes,0.89,12.7,North America,Technology,0.82,3,Desktop,Manual,Retention Offer,0.29,97,0.15,4,19,Mobile App,PayPal,Yes,Active,1286
Digital,Annual,Yes,2.15,5,0,No,0.53,3.14,North America,Politics,0.8,1,Mobile,Auto,Newsletter Promo,0.08,-14,0.16,2,64,Referral,Credit Card,No,Active,1727
Digital,Annual,Yes,4.53,9,3,No,0.67,20.84,North America,Finance,0.34,0,Desktop,Manual,Retention Offer,0.39,-27,1.0,2,25,Mobile App,Credit Card,Yes,Active,785
Digital+Print,Monthly,Yes,6.13,24,0,Yes,0.83,9.75,Europe,Politics,0.69,1,Mobile,Auto,Retention Offer,0.06,34,0.04,1,51,Web,Credit Card,No,Active,822
Digital+Print,Annual,Yes,0.62,22,1,Yes,0.15,6.49,North America,Culture,0.36,1,Desktop,Auto,,0.12,71,-0.76,1,57,Web,Credit Card,Yes,Cancelled,965
Espresso,Monthly,No,0.18,24,0,Yes,0.04,4.37,Europe,Finance,0.93,2,Mobile,Auto,Survey,0.43,99,0.47,3,37,Web,Credit Card,No,Cancelled,904
Digital,Monthly,Yes,5.81,20,1,No,0.88,9.12,Asia,Technology,0.93,4,Desktop,Manual,Newsletter Promo,0.26,-88,-0.46,5,40,Mobile App,PayPal,No,Active,1317
Digital,Monthly,No,3.58,22,0,No,0.31,9.49,Europe,Technology,0.79,0,Mobile,Manual,,0.36,-7,-0.63,5,32,Mobile App,Credit Card,No,Cancelled,1240
Espresso,Monthly,Yes,1.7,26,1,Yes,0.13,10.41,North America,Finance,0.95,0,Mobile,Manual,Newsletter Promo,0.37,-23,0.35,2,65,Web,Credit Card,No,Cancelled,180
Digital+Print,Annual,Yes,3.8,15,1,Yes,0.47,8.81,North America,Politics,0.87,0,Desktop,Manual,,0.57,23,-0.38,2,30,Referral,Credit Card,No,Active,1476
Digital,Monthly,No,0.0,13,0,No,0.6,12.53,Europe,Technology,0.88,0,Mobile,Manual,Newsletter Promo,0.35,24,-0.3,2,48,Mobile App,PayPal,No,Cancelled,1149
Digital,Monthly,Yes,3.01,6,0,No,0.03,8.45,North America,Politics,0.7,1,Tablet,Auto,Newsletter Promo,0.04,-63,0.7,4,66,Web,Credit Card,No,Active,1180
Digital+Print,Monthly,No,3.49,27,1,Yes,0.27,2.26,Europe,Politics,0.51,0,Mobile,Auto,,0.4,-88,0.26,5,63,Web,PayPal,No,Cancelled,367
Digital,Annual,Yes,4.39,27,1,No,0.03,9.4,North America,Technology,0.45,0,Mobile,Auto,Retention Offer,0.32,-47,0.3,1,31,Web,Credit Card,No,Active,1034
Digital+Print,Monthly,Yes,1.48,18,0,Yes,0.42,0.53,Asia,Politics,0.53,2,Desktop,Auto,Retention Offer,0.39,5,-0.69,2,18,Mobile App,PayPal,No,Cancelled,1683
Digital+Print,Monthly,Yes,3.13,22,1,No,0.9,11.42,Asia,Finance,0.74,1,Mobile,Auto,,0.08,-57,0.35,3,44,Web,Credit Card,No,Active,1129
Digital+Print,Monthly,No,1.61,16,1,No,0.98,6.08,Europe,Finance,0.42,2,Mobile,Auto,,0.18,40,-0.14,1,50,Mobile App,PayPal,No,Cancelled,702
Digital,Annual,Yes,3.38,8,2,Yes,0.64,10.65,North America,Finance,0.48,2,Desktop,Manual,,0.38,52,-0.22,1,52,Mobile App,Credit Card,No,Active,1261
Espresso,Monthly,Yes,1.66,25,1,No,0.16,15.26,North America,Technology,0.63,1,Desktop,Manual,,0.2,-77,0.2,1,32,Web,Credit Card,No,Cancelled,691
Digital,Monthly,Yes,2.39,12,4,No,0.91,6.21,Asia,Technology,0.46,0,Tablet,Auto,,0.68,23,0.0,5,22,Web,Credit Card,No,Active,984
Digital,Monthly,Yes,1.51,21,1,No,0.52,14.25,Europe,Technology,0.71,0,Mobile,Manual,Newsletter Promo,0.4,-72,-0.73,2,54,Mobile App,PayPal,No,Cancelled,1190
Digital,Monthly,No,3.98,4,0,No,0.15,8.27,North America,Technology,0.95,0,Desktop,Auto,Newsletter Promo,0.13,97,0.48,3,21,Web,Credit Card,Yes,Active,626
Digital,Monthly,Yes,4.29,22,3,Yes,0.92,17.01,North America,Politics,0.82,0,Mobile,Manual,,0.2,45,0.52,4,63,Referral,PayPal,No,Cancelled,822
Digital,Monthly,No,2.65,4,2,Yes,0.76,8.54,North America,Finance,0.77,1,Mobile,Auto,,0.28,-9,-0.29,3,37,Mobile App,Debit Card,No,Active,1222
Digital,Annual,Yes,3.06,9,1,Yes,0.73,6.64,Asia,Finance,0.71,1,Desktop,Auto,,0.26,-96,0.3,3,56,Web,Credit Card,No,Active,1270
Digital+Print,Monthly,Yes,0.83,20,0,No,0.71,12.75,North America,Finance,0.64,6,Mobile,Manual,,0.21,45,0.46,3,39,Mobile App,Debit Card,No,Cancelled,1439
Digital+Print,Monthly,No,2.55,26,4,No,0.2,8.26,Europe,Environment,0.43,0,Mobile,Auto,Newsletter Promo,0.38,90,-0.93,4,41,Mobile App,Credit Card,No,Cancelled,197
Digital,Annual,No,2.92,9,1,No,0.21,6.63,Europe,Culture,0.93,1,Mobile,Auto,Newsletter Promo,0.45,24,-0.26,3,64,Web,PayPal,No,Active,1104
Digital+Print,Monthly,No,6.93,26,1,Yes,0.69,8.09,Europe,Politics,0.47,0,Desktop,Auto,Newsletter Promo,0.35,64,-1.09,3,28,Web,Debit Card,No,Cancelled,196
Digital,Monthly,Yes,1.33,6,1,Yes,0.22,9.82,Asia,Politics,0.36,0,Tablet,Auto,,0.32,-30,0.32,2,63,Mobile App,Debit Card,No,Cancelled,987
Digital+Print,Monthly,Yes,5.2,25,0,Yes,0.44,15.37,Asia,Politics,0.83,2,Desktop,Manual,,0.21,82,0.22,2,23,Web,Credit Card,No,Active,1140
Digital,Monthly,Yes,4.5,14,1,No,0.78,2.26,Europe,Politics,0.42,5,Mobile,Auto,,0.08,-2,-0.33,2,44,Web,PayPal,Yes,Active,319
Digital,Annual,No,3.42,6,1,No,0.78,10.09,North America,Politics,0.56,0,Desktop,Manual,,0.09,-89,-0.08,1,27,Mobile App,Credit Card,Yes,Active,1481
Digital,Monthly,No,5.64,28,1,No,0.45,12.5,Europe,Finance,0.32,3,Desktop,Auto,,0.27,-49,-0.18,3,56,Mobile App,Credit Card,No,Cancelled,1714
Digital,Annual,Yes,3.56,26,0,No,0.79,10.77,Europe,Culture,0.4,0,Mobile,Auto,,0.47,84,-1.02,5,27,Mobile App,Credit Card,No,Active,1662
Digital,Monthly,No,3.58,14,0,No,0.84,15.24,Europe,Technology,0.42,1,Mobile,Auto,Survey,0.48,-55,0.65,5,63,Web,Credit Card,No,Active,789
Digital,Monthly,Yes,2.92,2,1,Yes,0.65,9.7,Europe,Politics,0.34,0,Mobile,Manual,,0.27,3,0.13,5,43,Web,PayPal,No,Active,1275
Digital,Monthly,Yes,4.84,18,0,No,0.23,9.26,North America,Finance,0.76,0,Mobile,Auto,Survey,0.17,-57,-0.07,4,54,Mobile App,Credit Card,Yes,Active,1685
Digital,Monthly,Yes,4.64,9,1,No,0.27,12.37,Europe,Finance,0.89,0,Desktop,Auto,Retention Offer,0.6,51,-0.07,2,50,Mobile App,Debit Card,No,Active,1358
Digital,Monthly,Yes,2.06,27,2,No,0.31,10.4,North America,Culture,0.56,1,Mobile,Auto,Retention Offer,0.28,-92,0.35,2,68,Mobile App,PayPal,No,Active,421
Digital,Annual,Yes,1.02,28,2,Yes,0.12,8.44,Asia,Culture,0.91,0,Mobile,Auto,,0.14,39,-0.79,2,25,Web,PayPal,No,Cancelled,640
Digital,Monthly,No,2.7,14,1,No,0.27,12.06,North America,Environment,0.45,1,Tablet,Manual,Survey,0.44,-1,-0.44,4,68,Web,PayPal,Yes,Active,1662
Digital,Annual,No,1.8,2,1,Yes,0.21,7.39,Asia,Finance,0.53,0,Desktop,Auto,Newsletter Promo,0.19,36,0.11,3,66,Mobile App,PayPal,No,Cancelled,1726
Digital+Print,Monthly,No,2.9,5,2,Yes,0.46,7.56,North America,Technology,0.41,0,Desktop,Auto,Newsletter Promo,0.31,2,0.56,1,68,Mobile App,Credit Card,No,Active,1776
Digital,Annual,Yes,4.86,11,1,No,0.91,7.89,Europe,Politics,0.73,0,Mobile,Auto,,0.07,9,-1.21,2,45,Web,Credit Card,Yes,Active,1626
Digital+Print,Annual,No,2.31,14,1,Yes,0.1,15.41,Asia,Technology,0.59,0,Mobile,Auto,,0.19,15,0.5,3,65,Web,Credit Card,Yes,Active,307
Digital,Annual,Yes,2.94,5,3,No,0.72,-2.88,North America,Politics,0.73,0,Mobile,Auto,Newsletter Promo,0.46,-79,-0.35,5,53,Mobile App,Credit Card,No,Active,448
Digital+Print,Annual,Yes,3.09,12,2,No,0.69,11.58,Asia,Finance,0.83,1,Mobile,Auto,,0.14,44,-0.14,1,57,Referral,Credit Card,No,Active,1196
Digital,Annual,Yes,4.27,28,2,Yes,0.1,10.14,Europe,Technology,0.68,0,Mobile,Auto,Survey,0.09,60,0.02,5,42,Web,PayPal,No,Active,510
Digital,Monthly,Yes,0.0,18,0,Yes,0.92,3.28,Europe,Politics,0.74,1,Desktop,Auto,,0.4,74,-0.55,3,53,Web,Credit Card,No,Cancelled,1552
Digital,Monthly,No,2.09,2,2,No,0.57,11.24,North America,Politics,0.95,2,Mobile,Auto,Newsletter Promo,0.51,-13,-0.62,3,30,Web,Credit Card,No,Active,744
Digital,Monthly,Yes,3.32,7,1,No,0.36,11.9,Europe,Politics,0.51,1,Mobile,Manual,Newsletter Promo,0.25,42,0.1,5,24,Web,Credit Card,No,Active,768
Digital,Annual,Yes,4.8,7,1,No,0.76,12.36,Europe,Politics,0.55,0,Mobile,Manual,Newsletter Promo,0.14,-68,0.95,1,18,Web,Credit Card,No,Active,1231
Digital+Print,Monthly,No,2.26,22,2,No,0.26,-0.61,Europe,Politics,0.8,1,Desktop,Auto,Newsletter Promo,0.35,-86,-0.47,5,26,Web,PayPal,No,Cancelled,1557
Digital+Print,Annual,No,0.19,25,2,No,0.69,15.47,Europe,Politics,0.73,2,Desktop,Auto,Retention Offer,0.13,-74,-0.48,5,45,Mobile App,PayPal,No,Cancelled,794
Digital,Monthly,Yes,3.93,19,2,No,0.04,7.05,Europe,Politics,0.42,1,Desktop,Manual,,0.17,88,-0.61,5,53,Mobile App,Debit Card,No,Active,535
Digital+Print,Monthly,Yes,2.05,14,0,No,0.84,12.75,North America,Politics,0.56,3,Mobile,Manual,Newsletter Promo,0.53,95,-0.11,1,63,Mobile App,Credit Card,No,Active,1667
Digital+Print,Monthly,Yes,1.22,3,0,Yes,0.45,12.96,North America,Environment,0.63,1,Mobile,Auto,,0.44,11,-0.49,4,47,Mobile App,Credit Card,No,Cancelled,1427
Digital,Monthly,Yes,2.06,18,0,No,0.64,6.49,North America,Finance,0.59,0,Mobile,Manual,Survey,0.47,-19,-0.48,1,26,Web,Credit Card,No,Active,986
Digital+Print,Monthly,Yes,2.72,20,2,No,0.22,12.64,North America,Politics,0.42,1,Mobile,Manual,Retention Offer,0.24,-53,0.11,5,47,Web,Debit Card,Yes,Active,811
Espresso,Monthly,Yes,2.09,2,0,No,0.68,8.46,Asia,Finance,0.95,1,Desktop,Auto,Survey,0.51,-93,-0.72,2,52,Mobile App,Credit Card,No,Active,487
Espresso,Monthly,Yes,0.0,12,0,Yes,0.77,1.71,Asia,Culture,0.83,1,Tablet,Auto,,0.11,33,0.81,2,64,Mobile App,Credit Card,No,Cancelled,501
Espresso,Monthly,Yes,4.35,7,1,No,0.47,14.67,North America,Technology,0.64,0,Desktop,Manual,,0.26,90,-0.59,3,44,Web,Credit Card,Yes,Active,1210
Digital+Print,Monthly,Yes,4.91,22,2,No,0.62,6.9,Others,Politics,0.78,0,Tablet,Auto,Newsletter Promo,0.24,17,0.57,4,46,Web,Credit Card,Yes,Active,261
Espresso,Monthly,Yes,3.98,15,2,No,0.46,6.58,Europe,Technology,0.93,1,Desktop,Manual,,0.05,-17,0.99,3,22,Mobile App,Credit Card,No,Active,139
Espresso,Annual,Yes,1.29,12,1,Yes,0.89,8.39,Others,Technology,0.4,1,Mobile,Manual,Newsletter Promo,0.29,-99,0.6,3,18,Web,PayPal,No,Active,1123
Digital,Monthly,Yes,2.7,2,0,No,0.5,11.09,Asia,Technology,0.48,0,Tablet,Manual,,0.14,49,0.54,2,60,Web,PayPal,No,Active,627
Digital,Monthly,Yes,2.99,15,1,Yes,0.84,9.77,Asia,Technology,0.68,0,Mobile,Auto,Retention Offer,0.46,17,0.4,1,68,Referral,Credit Card,No,Active,648
Digital,Monthly,Yes,3.9,8,0,Yes,0.8,12.19,North America,Culture,0.86,1,Desktop,Auto,,0.34,-80,0.11,3,22,Mobile App,Credit Card,Yes,Active,1392
Espresso,Monthly,Yes,4.0,27,0,Yes,0.41,4.64,North America,Culture,0.33,1,Mobile,Auto,Newsletter Promo,0.49,33,0.59,3,46,Mobile App,Credit Card,Yes,Active,1823
Digital,Monthly,Yes,1.9,13,0,Yes,0.23,7.03,North America,Technology,0.99,2,Mobile,Manual,Retention Offer,0.51,22,-0.13,4,34,Web,PayPal,No,Cancelled,633
Digital,Monthly,Yes,3.12,12,1,No,0.41,9.54,Asia,Finance,0.62,1,Desktop,Manual,,0.41,-5,0.43,2,68,Mobile App,PayPal,No,Active,1424
Digital,Monthly,No,3.69,20,1,No,0.83,17.59,North America,Technology,0.55,0,Mobile,Auto,,0.14,97,0.55,1,66,Mobile App,PayPal,No,Cancelled,269
Digital+Print,Monthly,Yes,5.18,24,1,Yes,0.23,9.54,Asia,Culture,0.5,0,Mobile,Auto,Newsletter Promo,0.3,-88,0.25,4,54,Mobile App,Credit Card,No,Active,750
Digital+Print,Monthly,No,4.06,6,1,No,0.52,14.34,North America,Politics,0.42,0,Mobile,Manual,Retention Offer,0.18,-100,-0.13,1,41,Web,PayPal,No,Active,232
Digital,Annual,Yes,4.18,14,2,No,0.81,10.15,Asia,Environment,0.85,1,Mobile,Manual,,0.15,49,0.24,1,69,Referral,Debit Card,No,Active,685
Digital,Annual,Yes,3.13,6,1,Yes,0.35,8.07,North America,Politics,0.97,0,Tablet,Auto,,0.11,16,-0.18,3,44,Web,PayPal,No,Active,709
Digital+Print,Monthly,Yes,5.12,5,1,No,0.64,9.01,North America,Finance,0.59,0,Desktop,Auto,Retention Offer,0.26,51,-0.27,4,26,Web,Credit Card,No,Active,153
Digital,Monthly,Yes,3.61,1,1,No,0.25,9.33,North America,Culture,0.97,0,Mobile,Manual,,0.16,-37,0.39,3,55,Web,PayPal,No,Active,488
Digital+Print,Monthly,Yes,1.71,8,3,No,0.11,12.41,Europe,Politics,0.88,0,Mobile,Manual,,0.35,68,0.07,5,30,Mobile App,PayPal,Yes,Cancelled,376
Digital,Monthly,Yes,5.11,21,1,No,0.79,15.5,North America,Finance,0.64,1,Desktop,Manual,Retention Offer,0.41,49,0.39,1,43,Mobile App,Credit Card,No,Active,563
Digital,Annual,Yes,4.05,23,1,Yes,0.1,11.44,Asia,Politics,0.77,1,Mobile,Auto,,0.06,-40,0.08,4,28,Mobile App,Credit Card,No,Active,238
Digital,Monthly,Yes,2.34,16,1,No,0.27,14.75,North America,Finance,0.6,2,Mobile,Auto,,0.24,7,0.25,2,41,Web,PayPal,No,Active,1275
Digital,Monthly,No,2.28,4,0,No,0.86,6.14,North America,Politics,0.69,2,Mobile,Auto,,0.09,-89,0.7,3,50,Mobile App,PayPal,No,Active,1751
Digital,Monthly,No,3.44,11,2,No,0.35,8.34,Asia,Finance,0.34,2,Desktop,Manual,Newsletter Promo,0.49,-11,-0.08,5,66,Web,Debit Card,No,Active,599
Digital,Annual,Yes,3.69,0,1,Yes,0.97,7.1,North America,Finance,0.79,2,Mobile,Manual,,0.5,31,-0.2,5,23,Web,Credit Card,No,Active,650
Digital+Print,Monthly,Yes,3.3,9,0,Yes,0.98,11.26,Others,Environment,0.34,3,Mobile,Manual,Newsletter Promo,0.19,-18,0.21,5,52,Mobile App,PayPal,No,Active,1750
Digital,Monthly,No,3.47,10,1,No,0.27,8.56,Others,Environment,0.87,1,Mobile,Auto,Survey,0.14,27,-1.29,3,33,Web,Credit Card,Yes,Active,1589
Digital,Monthly,No,5.55,15,0,Yes,0.04,12.92,North America,Politics,0.88,1,Mobile,Manual,Retention Offer,0.49,39,0.35,2,30,Mobile App,Debit Card,No,Active,1000
Digital,Monthly,No,4.61,13,0,No,0.71,6.28,North America,Technology,0.47,0,Desktop,Auto,,0.61,-68,-0.43,4,61,Web,Credit Card,No,Active,1376
Digital,Monthly,Yes,3.29,7,0,Yes,0.45,10.17,North America,Politics,0.53,1,Mobile,Auto,,0.27,48,0.84,1,28,Web,Credit Card,No,Active,354
Digital,Monthly,Yes,4.41,23,0,No,0.1,12.75,Asia,Politics,0.64,2,Mobile,Auto,Newsletter Promo,0.11,27,0.39,2,40,Web,Credit Card,No,Active,128
Digital,Monthly,Yes,1.45,16,2,Yes,0.71,1.74,Europe,Politics,0.72,0,Mobile,Manual,,0.13,-1,0.46,3,19,Web,PayPal,No,Cancelled,391
Digital,Monthly,No,3.6,24,2,No,0.03,18.49,Europe,Environment,0.5,1,Mobile,Manual,,0.17,5,0.47,4,47,Web,Credit Card,No,Cancelled,1641
Digital,Monthly,Yes,5.71,17,2,No,0.87,8.87,Asia,Environment,0.71,2,Desktop,Auto,Retention Offer,0.25,-29,-0.23,1,36,Web,PayPal,Yes,Active,1528
Digital,Monthly,No,2.67,11,0,No,0.14,1.9,North America,Politics,0.51,0,Desktop,Auto,,0.29,-27,-0.13,4,57,Mobile App,Credit Card,No,Active,1559
Digital+Print,Monthly,No,1.73,24,2,Yes,0.13,10.63,Asia,Politics,0.34,1,Mobile,Manual,,0.39,-5,-0.85,1,62,Web,Credit Card,Yes,Cancelled,1020
Digital+Print,Monthly,Yes,2.02,16,0,No,0.18,10.13,Asia,Politics,0.3,0,Mobile,Auto,Retention Offer,0.07,-9,0.75,1,63,Mobile App,Credit Card,Yes,Active,212
Digital+Print,Annual,No,1.37,27,1,Yes,0.96,9.67,Europe,Finance,0.37,0,Mobile,Manual,Survey,0.25,-27,-0.64,5,64,Mobile App,Credit Card,No,Cancelled,111
Digital+Print,Monthly,No,1.82,25,2,No,0.69,13.96,Asia,Technology,0.85,2,Desktop,Auto,,0.08,-29,-0.01,3,66,Mobile App,Credit Card,No,Cancelled,681
