customer_id,subscription_type,plan_type,auto_renew,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,discount_used_last_renewal,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,previous_renewal_status,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,subscription_start_date,subscription_end_date,csat_score,customer_age,gender,signup_source,payment_method,downgrade_history,subscription_status
223,Digital+Print,Monthly,No,2.55,26,4,No,0.2,8.26,Europe,Environment,0.43,0,Mobile,Auto,Newsletter Promo,0.38,90,-0.93,2024-02-27 05:54:16.426371,2025-02-26 05:54:16.426371,4,41,Male,Mobile App,Credit Card,No,Cancelled
224,Digital,Annual,No,2.92,9,1,No,0.21,6.63,Europe,Culture,0.93,1,Mobile,Auto,Newsletter Promo,0.45,24,-0.26,2024-07-07 05:54:16.426376,2025-07-07 05:54:16.426376,3,64,Male,Web,PayPal,No,Active
225,Digital+Print,Monthly,No,6.93,26,1,Yes,0.69,8.09,Europe,Politics,0.47,0,Desktop,Auto,Newsletter Promo,0.35,64,-1.09,2023-12-03 05:54:16.426381,2024-12-02 05:54:16.426381,3,28,Female,Web,Debit Card,No,Cancelled
226,Digital,Monthly,Yes,1.33,6,1,Yes,0.22,9.82,Asia,Politics,0.36,0,Tablet,Auto,None,0.32,-30,0.32,2023-10-07 05:54:16.426385,2024-10-06 05:54:16.426385,2,63,Male,Mobile App,Debit Card,No,Cancelled
227,Digital+Print,Monthly,Yes,5.2,25,0,Yes,0.44,15.37,Asia,Politics,0.83,2,Desktop,Manual,None,0.21,82,0.22,2024-04-07 05:54:16.426389,2025-04-07 05:54:16.426389,2,23,Female,Web,Credit Card,No,Active
228,Digital,Monthly,Yes,4.5,14,1,No,0.78,2.26,Europe,Politics,0.42,5,Mobile,Auto,None,0.08,-2,-0.33,2024-08-08 05:54:16.426393,2025-08-08 05:54:16.426393,2,44,Male,Web,PayPal,Yes,Active
229,Digital,Annual,No,3.42,6,1,No,0.78,10.09,North America,Politics,0.56,0,Desktop,Manual,None,0.09,-89,-0.08,2025-01-29 05:54:16.426398,2026-01-29 05:54:16.426398,1,27,Male,Mobile App,Credit Card,Yes,Active
230,Digital,Monthly,No,5.64,28,1,No,0.45,12.5,Europe,Finance,0.32,3,Desktop,Auto,None,0.27,-49,-0.18,2023-12-28 05:54:16.426402,2024-12-27 05:54:16.426402,3,56,Male,Mobile App,Credit Card,No,Cancelled
231,Digital,Annual,Yes,3.56,26,0,No,0.79,10.77,Europe,Culture,0.4,0,Mobile,Auto,None,0.47,84,-1.02,2023-09-20 05:54:16.426406,2024-09-19 05:54:16.426406,5,27,Male,Mobile App,Credit Card,No,Active
232,Digital,Monthly,No,3.58,14,0,No,0.84,15.24,Europe,Technology,0.42,1,Mobile,Auto,Survey,0.48,-55,0.65,2022-09-15 05:54:16.426410,2023-09-15 05:54:16.426410,5,63,Female,Web,Credit Card,No,Active
233,Digital,Monthly,Yes,2.92,2,1,Yes,0.65,9.7,Europe,Politics,0.34,0,Mobile,Manual,None,0.27,3,0.13,2022-12-28 05:54:16.426415,2023-12-28 05:54:16.426415,5,43,Male,Web,PayPal,No,Active
234,Digital,Monthly,Yes,4.84,18,0,No,0.23,9.26,North America,Finance,0.76,0,Mobile,Auto,Survey,0.17,-57,-0.07,2024-08-11 05:54:16.426420,2025-08-11 05:54:16.426420,4,54,Female,Mobile App,Credit Card,Yes,Active
235,Digital,Monthly,Yes,4.64,9,1,No,0.27,12.37,Europe,Finance,0.89,0,Desktop,Auto,Retention Offer,0.6,51,-0.07,2023-12-28 05:54:16.426424,2024-12-27 05:54:16.426424,2,50,Male,Mobile App,Debit Card,No,Active
236,Digital,Monthly,Yes,2.06,27,2,No,0.31,10.4,North America,Culture,0.56,1,Mobile,Auto,Retention Offer,0.28,-92,0.35,2023-02-25 05:54:16.426428,2024-02-25 05:54:16.426428,2,68,Male,Mobile App,PayPal,No,Active
237,Digital,Annual,Yes,1.02,28,2,Yes,0.12,8.44,Asia,Culture,0.91,0,Mobile,Auto,None,0.14,39,-0.79,2024-05-23 05:54:16.426433,2025-05-23 05:54:16.426433,2,25,Female,Web,PayPal,No,Cancelled
238,Digital,Monthly,No,2.7,14,1,No,0.27,12.06,North America,Environment,0.45,1,Tablet,Manual,Survey,0.44,-1,-0.44,2024-06-04 05:54:16.426437,2025-06-04 05:54:16.426437,4,68,Male,Web,PayPal,Yes,Active
239,Digital,Annual,No,1.8,2,1,Yes,0.21,7.39,Asia,Finance,0.53,0,Desktop,Auto,Newsletter Promo,0.19,36,0.11,2024-03-24 05:54:16.426441,2025-03-24 05:54:16.426441,3,66,Male,Mobile App,PayPal,No,Cancelled
240,Digital+Print,Monthly,No,2.9,5,2,Yes,0.46,7.56,North America,Technology,0.41,0,Desktop,Auto,Newsletter Promo,0.31,2,0.56,2024-05-07 05:54:16.426445,2025-05-07 05:54:16.426445,1,68,Male,Mobile App,Credit Card,No,Active
241,Digital,Annual,Yes,4.86,11,1,No,0.91,7.89,Europe,Politics,0.73,0,Mobile,Auto,None,0.07,9,-1.21,2023-04-05 05:54:16.426450,2024-04-04 05:54:16.426450,2,45,Male,Web,Credit Card,Yes,Active
242,Digital+Print,Annual,No,2.31,14,1,Yes,0.1,15.41,Asia,Technology,0.59,0,Mobile,Auto,None,0.19,15,0.5,2023-12-17 05:54:16.426454,2024-12-16 05:54:16.426454,3,65,Female,Web,Credit Card,Yes,Active
243,Digital,Annual,Yes,2.94,5,3,No,0.72,-2.88,North America,Politics,0.73,0,Mobile,Auto,Newsletter Promo,0.46,-79,-0.35,2023-01-16 05:54:16.426458,2024-01-16 05:54:16.426458,5,53,Female,Mobile App,Credit Card,No,Active
244,Digital+Print,Annual,Yes,3.09,12,2,No,0.69,11.58,Asia,Finance,0.83,1,Mobile,Auto,None,0.14,44,-0.14,2024-02-19 05:54:16.426462,2025-02-18 05:54:16.426462,1,57,Male,Referral,Credit Card,No,Active
245,Digital,Annual,Yes,4.27,28,2,Yes,0.1,10.14,Europe,Technology,0.68,0,Mobile,Auto,Survey,0.09,60,0.02,2024-12-31 05:54:16.426466,2025-12-31 05:54:16.426466,5,42,Female,Web,PayPal,No,Active
246,Digital,Monthly,Yes,0.0,18,0,Yes,0.92,3.28,Europe,Politics,0.74,1,Desktop,Auto,None,0.4,74,-0.55,2025-03-13 05:54:16.426471,2026-03-13 05:54:16.426471,3,53,Other,Web,Credit Card,No,Cancelled
247,Digital,Monthly,No,2.09,2,2,No,0.57,11.24,North America,Politics,0.95,2,Mobile,Auto,Newsletter Promo,0.51,-13,-0.62,2024-11-12 05:54:16.426475,2025-11-12 05:54:16.426475,3,30,Female,Web,Credit Card,No,Active
248,Digital,Monthly,Yes,3.32,7,1,No,0.36,11.9,Europe,Politics,0.51,1,Mobile,Manual,Newsletter Promo,0.25,42,0.1,2024-05-16 05:54:16.426479,2025-05-16 05:54:16.426479,5,24,Male,Web,Credit Card,No,Active
249,Digital,Annual,Yes,4.8,7,1,No,0.76,12.36,Europe,Politics,0.55,0,Mobile,Manual,Newsletter Promo,0.14,-68,0.95,2023-12-12 05:54:16.426484,2024-12-11 05:54:16.426484,1,18,Male,Web,Credit Card,No,Active
250,Digital+Print,Monthly,No,2.26,22,2,No,0.26,-0.61,Europe,Politics,0.8,1,Desktop,Auto,Newsletter Promo,0.35,-86,-0.47,2023-11-07 05:54:16.426488,2024-11-06 05:54:16.426488,5,26,Female,Web,PayPal,No,Cancelled
251,Digital+Print,Annual,No,0.19,25,2,No,0.69,15.47,Europe,Politics,0.73,2,Desktop,Auto,Retention Offer,0.13,-74,-0.48,2024-07-07 05:54:16.426492,2025-07-07 05:54:16.426492,5,45,Male,Mobile App,PayPal,No,Cancelled
252,Digital,Monthly,Yes,3.93,19,2,No,0.04,7.05,Europe,Politics,0.42,1,Desktop,Manual,None,0.17,88,-0.61,2023-12-03 05:54:16.426497,2024-12-02 05:54:16.426497,5,53,Male,Mobile App,Debit Card,No,Active
253,Digital+Print,Monthly,Yes,2.05,14,0,No,0.84,12.75,North America,Politics,0.56,3,Mobile,Manual,Newsletter Promo,0.53,95,-0.11,2024-11-06 05:54:16.426501,2025-11-06 05:54:16.426501,1,63,Male,Mobile App,Credit Card,No,Active
254,Digital+Print,Monthly,Yes,1.22,3,0,Yes,0.45,12.96,North America,Environment,0.63,1,Mobile,Auto,None,0.44,11,-0.49,2024-03-30 05:54:16.426505,2025-03-30 05:54:16.426505,4,47,Male,Mobile App,Credit Card,No,Cancelled
255,Digital,Monthly,Yes,2.06,18,0,No,0.64,6.49,North America,Finance,0.59,0,Mobile,Manual,Survey,0.47,-19,-0.48,2023-06-20 05:54:16.426509,2024-06-19 05:54:16.426509,1,26,Female,Web,Credit Card,No,Active
256,Digital+Print,Monthly,Yes,2.72,20,2,No,0.22,12.64,North America,Politics,0.42,1,Mobile,Manual,Retention Offer,0.24,-53,0.11,2023-11-16 05:54:16.426513,2024-11-15 05:54:16.426513,5,47,Female,Web,Debit Card,Yes,Active
257,Espresso,Monthly,Yes,2.09,2,0,No,0.68,8.46,Asia,Finance,0.95,1,Desktop,Auto,Survey,0.51,-93,-0.72,2023-09-04 05:54:16.426517,2024-09-03 05:54:16.426517,2,52,Male,Mobile App,Credit Card,No,Active
258,Espresso,Monthly,Yes,0.0,12,0,Yes,0.77,1.71,Asia,Culture,0.83,1,Tablet,Auto,None,0.11,33,0.81,2024-06-30 05:54:16.426522,2025-06-30 05:54:16.426522,2,64,Female,Mobile App,Credit Card,No,Cancelled
259,Espresso,Monthly,Yes,4.35,7,1,No,0.47,14.67,North America,Technology,0.64,0,Desktop,Manual,None,0.26,90,-0.59,2024-10-09 05:54:16.426526,2025-10-09 05:54:16.426526,3,44,Female,Web,Credit Card,Yes,Active
260,Digital+Print,Monthly,Yes,4.91,22,2,No,0.62,6.9,Others,Politics,0.78,0,Tablet,Auto,Newsletter Promo,0.24,17,0.57,2023-11-13 05:54:16.426530,2024-11-12 05:54:16.426530,4,46,Female,Web,Credit Card,Yes,Active
261,Espresso,Monthly,Yes,3.98,15,2,No,0.46,6.58,Europe,Technology,0.93,1,Desktop,Manual,None,0.05,-17,0.99,2024-11-24 05:54:16.426534,2025-11-24 05:54:16.426534,3,22,Other,Mobile App,Credit Card,No,Active
262,Espresso,Annual,Yes,1.29,12,1,Yes,0.89,8.39,Others,Technology,0.4,1,Mobile,Manual,Newsletter Promo,0.29,-99,0.6,2022-11-14 05:54:16.426538,2023-11-14 05:54:16.426538,3,18,Other,Web,PayPal,No,Active
263,Digital,Monthly,Yes,2.7,2,0,No,0.5,11.09,Asia,Technology,0.48,0,Tablet,Manual,None,0.14,49,0.54,2025-04-15 05:54:16.426543,2026-04-15 05:54:16.426543,2,60,Female,Web,PayPal,No,Active
264,Digital,Monthly,Yes,2.99,15,1,Yes,0.84,9.77,Asia,Technology,0.68,0,Mobile,Auto,Retention Offer,0.46,17,0.4,2025-04-09 05:54:16.426547,2026-04-09 05:54:16.426547,1,68,Female,Referral,Credit Card,No,Active
265,Digital,Monthly,Yes,3.9,8,0,Yes,0.8,12.19,North America,Culture,0.86,1,Desktop,Auto,None,0.34,-80,0.11,2023-04-04 05:54:16.426552,2024-04-03 05:54:16.426552,3,22,Male,Mobile App,Credit Card,Yes,Active
266,Espresso,Monthly,Yes,4.0,27,0,Yes,0.41,4.64,North America,Culture,0.33,1,Mobile,Auto,Newsletter Promo,0.49,33,0.59,2022-11-22 05:54:16.426555,2023-11-22 05:54:16.426555,3,46,Female,Mobile App,Credit Card,Yes,Active
267,Digital,Monthly,Yes,1.9,13,0,Yes,0.23,7.03,North America,Technology,0.99,2,Mobile,Manual,Retention Offer,0.51,22,-0.13,2024-01-28 05:54:16.426560,2025-01-27 05:54:16.426560,4,34,Female,Web,PayPal,No,Cancelled
268,Digital,Monthly,Yes,3.12,12,1,No,0.41,9.54,Asia,Finance,0.62,1,Desktop,Manual,None,0.41,-5,0.43,2024-11-07 05:54:16.426564,2025-11-07 05:54:16.426564,2,68,Female,Mobile App,PayPal,No,Active
269,Digital,Monthly,No,3.69,20,1,No,0.83,17.59,North America,Technology,0.55,0,Mobile,Auto,None,0.14,97,0.55,2024-02-09 05:54:16.426568,2025-02-08 05:54:16.426568,1,66,Male,Mobile App,PayPal,No,Cancelled
270,Digital+Print,Monthly,Yes,5.18,24,1,Yes,0.23,9.54,Asia,Culture,0.5,0,Mobile,Auto,Newsletter Promo,0.3,-88,0.25,2022-10-19 05:54:16.426573,2023-10-19 05:54:16.426573,4,54,Male,Mobile App,Credit Card,No,Active
271,Digital+Print,Monthly,No,4.06,6,1,No,0.52,14.34,North America,Politics,0.42,0,Mobile,Manual,Retention Offer,0.18,-100,-0.13,2024-12-28 05:54:16.426577,2025-12-28 05:54:16.426577,1,41,Male,Web,PayPal,No,Active
272,Digital,Annual,Yes,4.18,14,2,No,0.81,10.15,Asia,Environment,0.85,1,Mobile,Manual,None,0.15,49,0.24,2023-12-19 05:54:16.426581,2024-12-18 05:54:16.426581,1,69,Female,Referral,Debit Card,No,Active
273,Digital,Annual,Yes,3.13,6,1,Yes,0.35,8.07,North America,Politics,0.97,0,Tablet,Auto,None,0.11,16,-0.18,2024-10-27 05:54:16.426585,2025-10-27 05:54:16.426585,3,44,Other,Web,PayPal,No,Active
274,Digital+Print,Monthly,Yes,5.12,5,1,No,0.64,9.01,North America,Finance,0.59,0,Desktop,Auto,Retention Offer,0.26,51,-0.27,2023-01-30 05:54:16.426590,2024-01-30 05:54:16.426590,4,26,Male,Web,Credit Card,No,Active
275,Digital,Monthly,Yes,3.61,1,1,No,0.25,9.33,North America,Culture,0.97,0,Mobile,Manual,None,0.16,-37,0.39,2023-09-27 05:54:16.426594,2024-09-26 05:54:16.426594,3,55,Female,Web,PayPal,No,Active
276,Digital+Print,Monthly,Yes,1.71,8,3,No,0.11,12.41,Europe,Politics,0.88,0,Mobile,Manual,None,0.35,68,0.07,2023-02-14 05:54:16.426599,2024-02-14 05:54:16.426599,5,30,Male,Mobile App,PayPal,Yes,Cancelled
277,Digital,Monthly,Yes,5.11,21,1,No,0.79,15.5,North America,Finance,0.64,1,Desktop,Manual,Retention Offer,0.41,49,0.39,2022-12-31 05:54:16.426603,2023-12-31 05:54:16.426603,1,43,Female,Mobile App,Credit Card,No,Active
278,Digital,Annual,Yes,4.05,23,1,Yes,0.1,11.44,Asia,Politics,0.77,1,Mobile,Auto,None,0.06,-40,0.08,2023-06-28 05:54:16.426607,2024-06-27 05:54:16.426607,4,28,Female,Mobile App,Credit Card,No,Active
279,Digital,Monthly,Yes,2.34,16,1,No,0.27,14.75,North America,Finance,0.6,2,Mobile,Auto,None,0.24,7,0.25,2025-03-11 05:54:16.426612,2026-03-11 05:54:16.426612,2,41,Male,Web,PayPal,No,Active
280,Digital,Monthly,No,2.28,4,0,No,0.86,6.14,North America,Politics,0.69,2,Mobile,Auto,None,0.09,-89,0.7,2024-10-30 05:54:16.426616,2025-10-30 05:54:16.426616,3,50,Male,Mobile App,PayPal,No,Active
281,Digital,Monthly,No,3.44,11,2,No,0.35,8.34,Asia,Finance,0.34,2,Desktop,Manual,Newsletter Promo,0.49,-11,-0.08,2023-02-12 05:54:16.426620,2024-02-12 05:54:16.426620,5,66,Male,Web,Debit Card,No,Active
282,Digital,Annual,Yes,3.69,0,1,Yes,0.97,7.1,North America,Finance,0.79,2,Mobile,Manual,None,0.5,31,-0.2,2024-03-31 05:54:16.426624,2025-03-31 05:54:16.426624,5,23,Other,Web,Credit Card,No,Active
283,Digital+Print,Monthly,Yes,3.3,9,0,Yes,0.98,11.26,Others,Environment,0.34,3,Mobile,Manual,Newsletter Promo,0.19,-18,0.21,2024-04-01 05:54:16.426628,2025-04-01 05:54:16.426628,5,52,Male,Mobile App,PayPal,No,Active
284,Digital,Monthly,No,3.47,10,1,No,0.27,8.56,Others,Environment,0.87,1,Mobile,Auto,Survey,0.14,27,-1.29,2024-05-16 05:54:16.426633,2025-05-16 05:54:16.426633,3,33,Female,Web,Credit Card,Yes,Active
285,Digital,Monthly,No,5.55,15,0,Yes,0.04,12.92,North America,Politics,0.88,1,Mobile,Manual,Retention Offer,0.49,39,0.35,2024-01-09 05:54:16.426637,2025-01-08 05:54:16.426637,2,30,Male,Mobile App,Debit Card,No,Active
286,Digital,Monthly,No,4.61,13,0,No,0.71,6.28,North America,Technology,0.47,0,Desktop,Auto,None,0.61,-68,-0.43,2024-12-09 05:54:16.426641,2025-12-09 05:54:16.426641,4,61,Female,Web,Credit Card,No,Active
287,Digital,Monthly,Yes,3.29,7,0,Yes,0.45,10.17,North America,Politics,0.53,1,Mobile,Auto,None,0.27,48,0.84,2023-11-16 05:54:16.426645,2024-11-15 05:54:16.426645,1,28,Male,Web,Credit Card,No,Active
288,Digital,Monthly,Yes,4.41,23,0,No,0.1,12.75,Asia,Politics,0.64,2,Mobile,Auto,Newsletter Promo,0.11,27,0.39,2023-07-17 05:54:16.426649,2024-07-16 05:54:16.426649,2,40,Male,Web,Credit Card,No,Active
289,Digital,Monthly,Yes,1.45,16,2,Yes,0.71,1.74,Europe,Politics,0.72,0,Mobile,Manual,None,0.13,-1,0.46,2023-09-23 05:54:16.426653,2024-09-22 05:54:16.426653,3,19,Male,Web,PayPal,No,Cancelled
290,Digital,Monthly,No,3.6,24,2,No,0.03,18.49,Europe,Environment,0.5,1,Mobile,Manual,None,0.17,5,0.47,2024-01-14 05:54:16.426657,2025-01-13 05:54:16.426657,4,47,Male,Web,Credit Card,No,Cancelled
291,Digital,Monthly,Yes,5.71,17,2,No,0.87,8.87,Asia,Environment,0.71,2,Desktop,Auto,Retention Offer,0.25,-29,-0.23,2023-04-06 05:54:16.426662,2024-04-05 05:54:16.426662,1,36,Male,Web,PayPal,Yes,Active
292,Digital,Monthly,No,2.67,11,0,No,0.14,1.9,North America,Politics,0.51,0,Desktop,Auto,None,0.29,-27,-0.13,2023-03-18 05:54:16.426666,2024-03-17 05:54:16.426666,4,57,Female,Mobile App,Credit Card,No,Active
293,Digital+Print,Monthly,No,1.73,24,2,Yes,0.13,10.63,Asia,Politics,0.34,1,Mobile,Manual,None,0.39,-5,-0.85,2024-08-09 05:54:16.426670,2025-08-09 05:54:16.426670,1,62,Male,Web,Credit Card,Yes,Cancelled
294,Digital+Print,Monthly,Yes,2.02,16,0,No,0.18,10.13,Asia,Politics,0.3,0,Mobile,Auto,Retention Offer,0.07,-9,0.75,2024-12-07 05:54:16.426674,2025-12-07 05:54:16.426674,1,63,Female,Mobile App,Credit Card,Yes,Active
295,Digital+Print,Annual,No,1.37,27,1,Yes,0.96,9.67,Europe,Finance,0.37,0,Mobile,Manual,Survey,0.25,-27,-0.64,2023-05-23 05:54:16.426678,2024-05-22 05:54:16.426678,5,64,Male,Mobile App,Credit Card,No,Cancelled
296,Digital+Print,Monthly,No,1.82,25,2,No,0.69,13.96,Asia,Technology,0.85,2,Desktop,Auto,None,0.08,-29,-0.01,2024-12-04 05:54:16.426683,2025-12-04 05:54:16.426683,3,66,Male,Mobile App,Credit Card,No,Cancelled
297,Digital,Monthly,No,2.44,13,1,No,0.8,12.99,Asia,Politics,0.97,2,Desktop,Auto,Newsletter Promo,0.1,79,0.61,2024-07-09 05:54:16.426687,2025-07-09 05:54:16.426687,2,32,Male,Mobile App,PayPal,Yes,Active
298,Digital+Print,Monthly,No,0.89,15,1,No,0.4,11.19,North America,Culture,0.6,3,Mobile,Auto,None,0.31,74,0.77,2023-11-08 05:54:16.426691,2024-11-07 05:54:16.426691,5,59,Female,Web,Credit Card,Yes,Cancelled
299,Digital,Monthly,No,3.02,13,3,Yes,0.34,11.8,Europe,Finance,0.66,3,Desktop,Auto,Newsletter Promo,0.22,-42,-0.13,2023-12-07 05:54:16.426696,2024-12-06 05:54:16.426696,5,50,Male,Web,Credit Card,No,Cancelled
300,Digital,Annual,Yes,4.35,8,0,No,0.23,9.58,Europe,Environment,0.4,0,Desktop,Auto,None,0.21,74,-0.85,2024-03-03 05:54:16.426700,2025-03-03 05:54:16.426700,4,61,Male,Mobile App,Credit Card,Yes,Active
301,Digital,Monthly,Yes,1.64,3,2,Yes,0.48,17.1,North America,Technology,0.69,1,Tablet,Auto,Survey,0.3,-45,0.12,2023-10-06 05:54:16.426704,2024-10-05 05:54:16.426704,1,58,Female,Mobile App,Credit Card,No,Cancelled
302,Digital+Print,Annual,Yes,5.28,24,2,Yes,0.55,4.08,Others,Finance,0.4,1,Mobile,Auto,Newsletter Promo,0.36,-88,0.17,2023-10-13 05:54:16.426708,2024-10-12 05:54:16.426708,1,22,Male,Web,Credit Card,No,Active
303,Digital,Monthly,Yes,3.77,22,1,Yes,0.63,10.56,North America,Culture,0.73,1,Mobile,Auto,None,0.17,71,0.21,2024-03-08 05:54:16.426712,2025-03-08 05:54:16.426712,4,39,Female,Mobile App,Debit Card,No,Active
304,Digital,Monthly,No,4.55,10,1,No,0.26,10.26,Europe,Culture,0.95,2,Mobile,Manual,None,0.19,-66,-0.15,2023-07-08 05:54:16.426717,2024-07-07 05:54:16.426717,3,44,Male,Mobile App,Credit Card,Yes,Active
305,Digital+Print,Annual,Yes,2.01,5,1,Yes,0.95,13.25,Europe,Politics,0.44,1,Desktop,Auto,Newsletter Promo,0.37,18,-0.07,2022-10-29 05:54:16.426721,2023-10-29 05:54:16.426721,1,64,Male,Mobile App,PayPal,No,Active
306,Digital,Annual,Yes,4.28,14,2,Yes,0.17,6.62,North America,Finance,0.84,0,Desktop,Auto,Survey,0.31,14,-0.35,2025-01-12 05:54:16.426725,2026-01-12 05:54:16.426725,5,52,Female,Mobile App,PayPal,No,Active
307,Digital,Annual,No,1.36,4,0,No,0.97,3.03,Others,Environment,0.32,0,Desktop,Manual,None,0.62,56,0.08,2024-06-15 05:54:16.426729,2025-06-15 05:54:16.426729,5,36,Male,Web,Credit Card,No,Active
308,Espresso,Annual,Yes,4.34,10,1,Yes,0.01,10.63,Asia,Politics,0.56,0,Mobile,Auto,None,0.21,-45,0.4,2025-03-01 05:54:16.426733,2026-03-01 05:54:16.426733,1,56,Male,Web,Credit Card,No,Active
309,Digital+Print,Monthly,No,3.26,24,0,No,0.48,11.12,Europe,Politics,0.38,1,Mobile,Auto,None,0.48,32,0.13,2024-08-14 05:54:16.426738,2025-08-14 05:54:16.426738,1,24,Female,Web,Credit Card,Yes,Cancelled
310,Digital+Print,Annual,Yes,3.83,17,1,No,0.33,15.96,North America,Finance,0.55,1,Mobile,Manual,Newsletter Promo,0.4,94,-0.02,2022-09-12 05:54:16.426743,2023-09-12 05:54:16.426743,3,56,Male,Web,Credit Card,Yes,Active
311,Digital+Print,Monthly,Yes,1.24,29,0,No,0.45,4.92,North America,Culture,0.42,1,Desktop,Manual,Newsletter Promo,0.33,-48,0.56,2023-02-26 05:54:16.426747,2024-02-26 05:54:16.426747,1,51,Female,Referral,PayPal,No,Cancelled
312,Digital,Annual,Yes,1.66,12,1,No,0.57,14.62,North America,Culture,0.56,2,Mobile,Manual,Survey,0.39,0,0.13,2024-02-29 05:54:16.426751,2025-02-28 05:54:16.426751,3,51,Female,Web,PayPal,No,Active
313,Digital,Monthly,Yes,3.9,10,2,No,0.44,19.47,North America,Environment,0.59,0,Mobile,Auto,None,0.54,19,0.02,2023-11-15 05:54:16.426756,2024-11-14 05:54:16.426756,5,44,Female,Web,Debit Card,No,Active
314,Digital,Annual,Yes,1.58,13,1,No,0.41,8.49,Europe,Finance,0.51,1,Desktop,Manual,None,0.07,-41,0.04,2024-11-14 05:54:16.426759,2025-11-14 05:54:16.426759,3,61,Male,Web,PayPal,Yes,Active
315,Digital,Monthly,Yes,3.69,27,2,Yes,0.73,4.84,Others,Politics,0.76,0,Mobile,Auto,Newsletter Promo,0.02,4,-0.61,2025-04-04 05:54:16.426764,2026-04-04 05:54:16.426764,1,22,Female,Mobile App,Credit Card,No,Active
316,Digital,Monthly,No,0.95,17,1,No,0.69,8.37,Europe,Technology,0.94,1,Mobile,Auto,None,0.13,33,-0.55,2022-10-07 05:54:16.426768,2023-10-07 05:54:16.426768,2,21,Male,Mobile App,PayPal,No,Cancelled
317,Digital,Monthly,No,4.27,26,0,No,0.83,10.06,Asia,Culture,0.58,1,Mobile,Manual,Survey,0.14,75,-0.06,2025-04-25 05:54:16.426772,2026-04-25 05:54:16.426772,1,24,Male,Mobile App,PayPal,No,Cancelled
318,Digital+Print,Annual,Yes,1.15,27,1,No,0.25,12.26,Europe,Politics,0.43,0,Desktop,Auto,Newsletter Promo,0.43,5,-0.37,2025-04-26 05:54:16.426777,2026-04-26 05:54:16.426777,2,65,Female,Mobile App,PayPal,No,Active
319,Digital+Print,Monthly,Yes,3.83,24,1,No,0.61,7.63,Europe,Politics,0.49,0,Desktop,Manual,Retention Offer,0.33,-21,-0.02,2024-03-07 05:54:16.426781,2025-03-07 05:54:16.426781,5,20,Male,Web,PayPal,No,Active
320,Espresso,Monthly,Yes,3.94,27,2,Yes,0.59,16.22,Asia,Politics,0.9,0,Tablet,Auto,None,0.38,62,0.43,2024-05-02 05:54:16.426785,2025-05-02 05:54:16.426785,4,38,Male,Web,Debit Card,No,Active
321,Digital,Monthly,Yes,1.95,18,0,No,0.37,5.54,Europe,Technology,0.7,2,Mobile,Auto,Newsletter Promo,0.23,45,0.35,2022-11-05 05:54:16.426789,2023-11-05 05:54:16.426789,5,51,Male,Mobile App,Credit Card,No,Cancelled
322,Digital,Monthly,Yes,3.87,23,3,Yes,0.49,3.04,Asia,Culture,0.62,2,Tablet,Manual,Retention Offer,0.19,-90,0.2,2024-04-25 05:54:16.426794,2025-04-25 05:54:16.426794,5,66,Other,Mobile App,Credit Card,No,Cancelled
323,Digital,Annual,Yes,3.39,26,1,No,0.31,14.43,North America,Technology,0.4,1,Desktop,Auto,None,0.27,-50,0.42,2023-11-07 05:54:16.426798,2024-11-06 05:54:16.426798,5,26,Male,Web,PayPal,No,Active
324,Digital,Monthly,Yes,2.19,14,0,Yes,0.14,0.9,North America,Environment,0.61,1,Desktop,Manual,Survey,0.17,20,0.52,2022-12-01 05:54:16.426802,2023-12-01 05:54:16.426802,3,37,Male,Web,Credit Card,No,Active
325,Digital,Annual,Yes,1.49,8,1,No,0.21,9.18,Asia,Politics,0.49,0,Tablet,Manual,None,0.37,-78,0.5,2024-05-18 05:54:16.426806,2025-05-18 05:54:16.426806,5,57,Female,Mobile App,PayPal,No,Active
326,Digital+Print,Monthly,Yes,0.06,7,0,No,0.11,22.47,Europe,Environment,0.96,0,Mobile,Manual,None,0.37,-54,0.48,2023-04-29 05:54:16.426811,2024-04-28 05:54:16.426811,4,29,Female,Web,Credit Card,No,Active
327,Digital,Monthly,Yes,3.52,19,1,Yes,0.68,9.95,Asia,Culture,0.92,2,Mobile,Auto,None,0.22,-26,-0.6,2022-11-14 05:54:16.426815,2023-11-14 05:54:16.426815,1,56,Male,Web,Credit Card,No,Active
328,Digital,Annual,No,0.65,27,0,No,0.66,5.52,Others,Finance,0.36,0,Mobile,Auto,None,0.2,86,-0.95,2025-03-16 05:54:16.426819,2026-03-16 05:54:16.426819,2,63,Female,Mobile App,Credit Card,Yes,Cancelled
329,Digital+Print,Monthly,Yes,3.14,0,1,Yes,0.95,9.77,North America,Environment,0.66,3,Desktop,Manual,Retention Offer,0.1,84,-0.39,2023-05-06 05:54:16.426823,2024-05-05 05:54:16.426823,5,45,Male,Web,PayPal,Yes,Active
330,Digital+Print,Monthly,No,2.6,3,0,Yes,0.73,9.8,Europe,Politics,0.46,1,Desktop,Manual,Retention Offer,0.22,-8,-0.23,2023-10-13 05:54:16.426828,2024-10-12 05:54:16.426828,2,65,Male,Mobile App,Credit Card,Yes,Active
